timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2025-07-13 05:30:00,162.01,162.22,161.77,161.8,13614.653,2025-07-13 05:44:59.999,2205076.92743,10200,5028.907,814777.54563
2025-07-13 05:45:00,161.81,161.83,161.3,161.35,11164.182,2025-07-13 05:59:59.999,1803312.43488,9998,3532.674,570627.09066
2025-07-13 06:00:00,161.35,161.68,161.26,161.61,8734.925,2025-07-13 06:14:59.999,1410734.52979,5514,3724.592,601563.25075
2025-07-13 06:15:00,161.62,161.86,161.55,161.81,9165.227,2025-07-13 06:29:59.999,1482113.28712,6872,3245.401,524846.21487
2025-07-13 06:30:00,161.82,162.17,161.78,161.89,17347.342,2025-07-13 06:44:59.999,2810489.97699,9008,8745.271,1416788.92185
2025-07-13 06:45:00,161.89,161.9,161.52,161.58,13400.912,2025-07-13 06:59:59.999,2166483.1796,6350,8318.162,1344941.46142
2025-07-13 07:00:00,161.59,162.07,161.44,162.0,11241.796,2025-07-13 07:14:59.999,1817294.89889,8056,4173.67,674972.33404
2025-07-13 07:15:00,162.01,162.18,161.96,162.02,16647.86,2025-07-13 07:29:59.999,2698167.24282,7074,6000.474,972626.31166
2025-07-13 07:30:00,162.01,162.56,161.98,162.34,20180.813,2025-07-13 07:44:59.999,3275753.77274,10968,8725.312,1416303.46315
2025-07-13 07:45:00,162.33,162.98,162.3,162.67,33396.526,2025-07-13 07:59:59.999,5431544.75013,9450,22231.23,3616989.10849
2025-07-13 08:00:00,162.67,162.74,162.25,162.5,29863.76,2025-07-13 08:14:59.999,4849146.43773,9168,17551.286,2849544.71835
2025-07-13 08:15:00,162.5,162.51,162.11,162.39,8240.954,2025-07-13 08:29:59.999,1337109.83938,8583,2431.423,394539.2836
2025-07-13 08:30:00,162.39,162.49,162.03,162.06,6170.395,2025-07-13 08:44:59.999,1001120.60144,6335,2224.784,360981.62686
2025-07-13 08:45:00,162.06,162.22,161.66,162.22,9745.842,2025-07-13 08:59:59.999,1577699.77873,7918,5191.641,840390.90247
2025-07-13 09:00:00,162.22,162.49,162.22,162.26,6837.863,2025-07-13 09:14:59.999,1110135.70856,5901,3044.618,494322.0044
2025-07-13 09:15:00,162.26,162.28,161.8,162.03,8062.169,2025-07-13 09:29:59.999,1306412.30984,7599,3347.261,542411.11646
2025-07-13 09:30:00,162.03,162.03,161.57,161.85,9151.704,2025-07-13 09:44:59.999,1480186.85194,9187,4104.785,663866.70698
2025-07-13 09:45:00,161.85,161.95,161.65,161.89,5483.321,2025-07-13 09:59:59.999,887437.79689,6607,2890.973,467892.16648
2025-07-13 10:00:00,161.89,162.09,161.88,161.91,5973.066,2025-07-13 10:14:59.999,967575.88746,6190,2278.498,369078.43097
2025-07-13 10:15:00,161.91,161.96,161.7,161.78,8205.858,2025-07-13 10:29:59.999,1327874.23854,4590,3400.476,550217.96754
2025-07-13 10:30:00,161.78,161.93,161.64,161.84,5670.12,2025-07-13 10:44:59.999,917407.56013,4558,2203.038,356444.76946
2025-07-13 10:45:00,161.84,161.91,161.58,161.82,8985.727,2025-07-13 10:59:59.999,1453668.89476,6147,6368.352,1030301.68006
2025-07-13 11:00:00,161.82,162.55,161.81,162.52,12653.396,2025-07-13 11:14:59.999,2054492.58902,8429,5892.967,956624.90458
2025-07-13 11:15:00,162.52,162.72,162.13,162.47,13124.664,2025-07-13 11:29:59.999,2131489.11393,10944,7438.747,1208077.00079
2025-07-13 11:30:00,162.46,162.47,161.76,161.81,21667.712,2025-07-13 11:44:59.999,3512915.96377,16789,8176.43,1325545.0196
2025-07-13 11:45:00,161.82,162.08,161.71,162.06,9965.645,2025-07-13 11:59:59.999,1613381.79116,9983,5374.972,870184.12716
2025-07-13 12:00:00,162.06,162.09,161.81,161.9,13117.069,2025-07-13 12:14:59.999,2124181.09219,10128,7033.042,1138895.21321
2025-07-13 12:15:00,161.9,162.28,161.84,162.16,13399.422,2025-07-13 12:29:59.999,2172437.39194,8881,9316.134,1510440.49267
2025-07-13 12:30:00,162.17,162.17,161.79,162.16,19581.487,2025-07-13 12:44:59.999,3172600.13793,10510,11953.578,1936622.45794
2025-07-13 12:45:00,162.16,162.91,161.93,162.66,37855.189,2025-07-13 12:59:59.999,6156277.37822,20083,19651.1,3195573.2259
2025-07-13 13:00:00,162.67,162.83,161.94,162.08,22414.82,2025-07-13 13:14:59.999,3642486.83632,17283,9656.877,1569458.59969
2025-07-13 13:15:00,162.09,162.35,161.97,162.18,18086.0,2025-07-13 13:29:59.999,2933132.11356,11849,10701.444,1735606.63704
2025-07-13 13:30:00,162.19,162.73,162.17,162.67,18670.469,2025-07-13 13:44:59.999,3034317.09094,11880,9293.502,1510326.87803
2025-07-13 13:45:00,162.66,162.99,162.48,162.91,24265.674,2025-07-13 13:59:59.999,3950659.61913,17181,12347.623,2010230.70838
2025-07-13 14:00:00,162.92,163.25,162.65,163.07,19795.41,2025-07-13 14:14:59.999,3225661.56697,15975,11326.429,1845902.92305
2025-07-13 14:15:00,163.07,164.19,163.04,163.89,115694.435,2025-07-13 14:29:59.999,18949308.33706,52232,49586.918,8120849.16924
2025-07-13 14:30:00,163.9,163.9,162.93,162.97,31206.249,2025-07-13 14:44:59.999,5101811.2168,27769,12458.904,2037140.76819
2025-07-13 14:45:00,162.98,163.43,162.36,162.8,37015.285,2025-07-13 14:59:59.999,6024590.51283,35130,14716.088,2395421.55942
2025-07-13 15:00:00,162.81,163.4,162.42,163.26,22919.809,2025-07-13 15:14:59.999,3735046.2216,23326,11972.214,1951196.62291
2025-07-13 15:15:00,163.27,163.49,162.67,162.98,17581.9,2025-07-13 15:29:59.999,2868998.59987,17167,8511.682,1389116.64571
2025-07-13 15:30:00,162.97,162.97,161.93,162.17,28337.891,2025-07-13 15:44:59.999,4599459.34203,22889,9053.111,1469973.0851
2025-07-13 15:45:00,162.16,162.29,161.87,162.04,20842.689,2025-07-13 15:59:59.999,3378979.2829,13454,11964.45,1939611.84518
2025-07-13 16:00:00,162.04,162.44,161.66,161.96,43161.433,2025-07-13 16:14:59.999,6994908.16398,21001,27106.409,4392941.0443
